Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W]
15:40:00,4.330748E-02,4.141163E+02,1.624894E-01,2.110729E+03,3.009189E+03,2.889467E-01,7.480436E+03,4.330748E-02,0.000000E+00,0.000000E+00
15:50:00,4.330748E-02,4.186422E+02,1.632457E-01,2.114715E+03,3.013060E+03,2.889693E-01,7.480868E+03,4.330748E-02,0.000000E+00,0.000000E+00
16:00:00,4.330748E-02,4.231680E+02,1.637803E-01,2.116206E+03,3.014096E+03,2.889913E-01,7.481289E+03,4.330748E-02,0.000000E+00,0.000000E+00
16:10:00,4.330748E-02,4.292025E+02,1.641460E-01,2.114287E+03,3.011497E+03,2.890128E-01,7.481699E+03,4.330748E-02,0.000000E+00,0.000000E+00
16:20:00,4.330748E-02,4.352370E+02,1.642751E-01,2.109707E+03,3.005871E+03,2.890337E-01,7.482099E+03,4.330748E-02,0.000000E+00,0.000000E+00
16:30:00,4.330748E-02,4.412715E+02,1.641960E-01,2.102783E+03,2.997698E+03,2.890542E-01,7.482489E+03,4.330748E-02,0.000000E+00,0.000000E+00
16:40:00,4.330748E-02,4.473060E+02,1.660708E-01,2.117847E+03,3.017649E+03,2.875687E-01,7.454123E+03,4.330748E-02,0.000000E+00,0.000000E+00
16:50:00,4.330748E-02,4.533404E+02,1.678354E-01,2.131674E+03,3.051307E+03,2.860402E-01,7.424927E+03,4.330748E-02,0.000000E+00,0.000000E+00
17:00:00,4.330748E-02,4.593749E+02,1.695614E-01,2.145071E+03,3.085542E+03,2.844845E-01,7.395210E+03,4.330748E-02,0.000000E+00,0.000000E+00
17:10:00,4.330748E-02,4.669180E+02,1.724987E-01,2.170590E+03,3.139212E+03,2.822034E-01,7.351634E+03,4.330748E-02,0.000000E+00,0.000000E+00
